代码,名称,全称,上一级代码
65432320,解特阿热勒乡,新疆阿勒泰地区福海县解特阿热勒乡,65432300
65432321,阔克阿尕什乡,新疆阿勒泰地区福海县阔克阿尕什乡,65432300
65432322,齐干吉迭乡,新疆阿勒泰地区福海县齐干吉迭乡,65432300
65432323,喀拉玛盖乡,新疆阿勒泰地区福海县喀拉玛盖乡,65432300
65432324,阿尔达乡,新疆阿勒泰地区福海县阿尔达乡,65432300
65432340,地区一农场,新疆阿勒泰地区福海县地区一农场,65432300
65432341,福海监狱,新疆阿勒泰地区福海县福海监狱,65432300
65432346,地方渔场,新疆阿勒泰地区福海县地方渔场,65432300
65432399,不详乡镇,新疆阿勒泰地区福海县不详乡镇,65432300
65432400,哈巴河县,新疆阿勒泰地区哈巴河县,65430000
65432410,阿克齐镇,新疆阿勒泰地区哈巴河县阿克齐镇,65432400
65432420,萨尔塔木乡,新疆阿勒泰地区哈巴河县萨尔塔木乡,65432400
65432421,加依勒玛乡,新疆阿勒泰地区哈巴河县加依勒玛乡,65432400
65432422,库勒拜乡,新疆阿勒泰地区哈巴河县库勒拜乡,65432400
65432423,萨尔布拉克乡,新疆阿勒泰地区哈巴河县萨尔布拉克乡,65432400
65432424,铁热克提乡,新疆阿勒泰地区哈巴河县铁热克提乡,65432400
65432425,齐巴尔乡,新疆阿勒泰地区哈巴河县齐巴尔乡,65432400
65432499,不详乡镇,新疆阿勒泰地区哈巴河县不详乡镇,65432400
65432500,青河县,新疆阿勒泰地区青河县,65430000
65432510,青河镇,新疆阿勒泰地区青河县青河镇,65432500
65432511,塔克什肯镇,新疆阿勒泰地区青河县塔克什肯镇,65432500
65432520,阿热勒乡,新疆阿勒泰地区青河县阿热勒乡,65432500
65432521,阿热勒托别乡,新疆阿勒泰地区青河县阿热勒托别乡,65432500
65432522,萨尔托海乡,新疆阿勒泰地区青河县萨尔托海乡,65432500
65432523,查干郭勒乡,新疆阿勒泰地区青河县查干郭勒乡,65432500
65432524,阿尕什敖包乡,新疆阿勒泰地区青河县阿尕什敖包乡,65432500
65432599,不详乡镇,新疆阿勒泰地区青河县不详乡镇,65432500
65432600,吉木乃县,新疆阿勒泰地区吉木乃县,65430000
65432610,托普铁热克镇,新疆阿勒泰地区吉木乃县托普铁热克镇,65432600
65432611,吉木乃镇,新疆阿勒泰地区吉木乃县吉木乃镇,65432600
65432620,托普铁热克乡,新疆阿勒泰地区吉木乃县托普铁热克乡,65432600
65432621,托斯特乡,新疆阿勒泰地区吉木乃县托斯特乡,65432600
65432622,恰勒什海乡,新疆阿勒泰地区吉木乃县恰勒什海乡,65432600
65432623,喀尔交乡,新疆阿勒泰地区吉木乃县喀尔交乡,65432600
65432624,别斯铁热克乡,新疆阿勒泰地区吉木乃县别斯铁热克乡,65432600
65432699,不详乡镇,新疆阿勒泰地区吉木乃县不详乡镇,65432600
65439900,不详县,新疆阿勒泰地区不详县,65430000
65439999,不详乡镇,新疆阿勒泰地区不详县不详乡镇,65439900
65900000,自治区直辖县级行政单位,新疆自治区直辖县级行政单位,65000000
65900100,石河子市,新疆自治区直辖县级行政单位石河子市,65900000
65900101,新城街道,新疆自治区直辖县级行政单位石河子市新城街道,65900100
65900102,向阳街道,新疆自治区直辖县级行政单位石河子市向阳街道,65900100
65900103,红山街道,新疆自治区直辖县级行政单位石河子市红山街道,65900100
65900104,老街街道,新疆自治区直辖县级行政单位石河子市老街街道,65900100
65900105,东城街道,新疆自治区直辖县级行政单位石河子市东城街道,65900100
65900110,北泉镇,新疆自治区直辖县级行政单位石河子市北泉镇,65900100
65900120,石河子乡,新疆自治区直辖县级行政单位石河子市石河子乡,65900100
65900199,不详乡镇,新疆自治区直辖县级行政单位石河子市不详乡镇,65900100
65900200,阿拉尔市,新疆自治区直辖县级行政单位阿拉尔市,65900000
65900201,幸福路街道,新疆自治区直辖县级行政单位阿拉尔市幸福路街道,65900200
65900202,金银川路街道,新疆自治区直辖县级行政单位阿拉尔市金银川路街道,65900200
65900203,青松路街道,新疆自治区直辖县级行政单位阿拉尔市青松路街道,65900200
65900204,南口街道,新疆自治区直辖县级行政单位阿拉尔市南口街道,65900200
65900220,托喀依乡,新疆自治区直辖县级行政单位阿拉尔市托喀依乡,65900200
65900299,不详乡镇,新疆自治区直辖县级行政单位阿拉尔市不详乡镇,65900200
65900300,图木舒克市,新疆自治区直辖县级行政单位图木舒克市,65900000
65900301,小海子水管处,新疆自治区直辖县级行政单位图木舒克市小海子水管处,65900300
65900321,原种场,新疆自治区直辖县级行政单位图木舒克市原种场,65900300
65900399,不详乡镇,新疆自治区直辖县级行政单位图木舒克市不详乡镇,65900300
65900400,五家渠市,新疆自治区直辖县级行政单位五家渠市,65900000
65900401,军垦路街道,新疆自治区直辖县级行政单位五家渠市军垦路街道,65900400
65900402,青湖路街道,新疆自治区直辖县级行政单位五家渠市青湖路街道,65900400
65900403,人民路街道,新疆自治区直辖县级行政单位五家渠市人民路街道,65900400
65900499,不详乡镇,新疆自治区直辖县级行政单位五家渠市不详乡镇,65900400
65909900,不详县,新疆自治区直辖县级行政单位不详县,65900000
